A,W,MT,ID
128, 64, 846, 2
128, 64, 768, 2
128, 64, 721, 2
128, 64, 806, 2
128, 64, 811, 2
128, 64, 808, 2
128, 64, 735, 2
128, 64, 919, 2
128, 64, 833, 2
256, 64, 825, 2
256, 64, 767, 2
256, 64, 898, 2
256, 64, 758, 2
256, 64, 1119, 2
256, 64, 1042, 2
256, 64, 997, 2
256, 64, 1032, 2
256, 64, 921, 2
512, 64, 1041, 3
512, 64, 1231, 3
512, 64, 999, 3
512, 64, 1005, 3
512, 64, 955, 3
512, 64, 911, 3
512, 64, 992, 3
512, 64, 1, 3
512, 64, 1044, 3
256, 32, 1129, 3
256, 32, 1082, 3
256, 32, 1095, 3
256, 32, 1106, 3
256, 32, 1203, 3
256, 32, 921, 3
256, 32, 855, 3
256, 32, 911, 3
256, 32, 918, 3
256, 16, 1207, 4
256, 16, 1190, 4
256, 16, 1234, 4
256, 16, 1165, 4
256, 16, 1223, 4
256, 16, 1675, 4
256, 16, 1122, 4
256, 16, 1116, 4
256, 16, 1256, 4
128, 16, 929, 3
128, 16, 943, 3
128, 16, 983, 3
128, 16, 1021, 3
128, 16, 943, 3
128, 16, 1046, 3
128, 16, 995, 3
128, 16, 947, 3
128, 16, 902, 3
512, 16, 1332, 5
512, 16, 1204, 5
512, 16, 1307, 5
512, 16, 0, 5
512, 16, 1170, 5
512, 16, 1180, 5
512, 16, 1254, 5
512, 16, 1329, 5
512, 16, 1655, 5
128, 32, 848, 2
128, 32, 857, 2
128, 32, 795, 2
128, 32, 920, 2
128, 32, 1166, 2
128, 32, 1081, 2
128, 32, 1068, 2
128, 32, 911, 2
128, 32, 1019, 2
512, 32, 1034, 4
512, 32, 1165, 4
512, 32, 885, 4
512, 32, 1217, 4
512, 32, 1140, 4
512, 32, 1159, 4
512, 32, 1205, 4
512, 32, 1081, 4
512, 32, 1230, 4
