A,W,MT,ID
307,15,1459,4
307,15,1111,4
307,15,1472,4
307,15,922,4
307,15,888,4
1024,156,758,3
1024,156,1,3
1024,156,651,3
1024,156,722,3
1024,156,840,3
128,62,701,2
128,62,542,2
128,62,527,2
128,62,597,2
128,62,595,2
307,156,563,2
307,156,471,2
307,156,542,2
307,156,488,2
307,156,515,2
307,109,798,2
307,109,645,2
307,109,652,2
307,109,591,2
307,109,535,2
665,15,1075,6
665,15,1429,6
665,15,1224,6
665,15,1174,6
665,15,951,6
486,250,472,2
486,250,472,2
486,250,513,2
486,250,445,2
486,250,507,2
1024,62,715,4
1024,62,895,4
1024,62,812,4
1024,62,903,4
1024,62,729,4
128,15,965,3
128,15,806,3
128,15,570,3
128,15,729,3
128,15,1173,3
665,156,611,2
665,156,562,2
665,156,605,2
665,156,597,2
665,156,701,2
665,62,693,4
665,62,694,4
665,62,646,4
665,62,1173,4
665,62,1042,4
128,109,535,1
128,109,437,1
128,109,451,1
128,109,465,1
128,109,459,1
486,156,500,2
486,156,2391,2
486,156,623,2
486,156,585,2
486,156,917,2
486,15,1347,5
486,15,1361,5
486,15,1845,5
486,15,1228,5
486,15,1105,5
307,62,772,3
307,62,645,3
307,62,653,3
307,62,632,3
307,62,584,3
665,109,674,3
665,109,611,3
665,109,575,3
665,109,611,3
665,109,590,3
307,250,431,1
307,250,464,1
307,250,390,1
307,250,583,1
307,250,416,1
1024,15,1451,6
1024,15,1340,6
1024,15,1846,6
1024,15,1535,6
1024,15,1342,6
665,250,493,2
665,250,500,2
665,250,437,2
665,250,541,2
665,250,479,2
486,62,661,3
486,62,902,3
486,62,986,3
486,62,1046,3
486,62,855,3
1024,250,848,2
1024,250,604,2
1024,250,846,2
1024,250,633,2
1024,250,985,2
486,109,930,2
486,109,777,2
486,109,597,2
486,109,757,2
486,109,764,2
1024,109,1497,3
1024,109,790,3
1024,109,688,3
1024,109,936,3
1024,109,638,3
