A,W,MT,ID
665,62,804,4
665,62,770,4
665,62,706,4
665,62,796,4
665,62,692,4
307,109,502,2
307,109,570,2
307,109,517,2
307,109,662,2
307,109,518,2
128,15,864,3
128,15,847,3
128,15,691,3
128,15,714,3
128,15,653,3
486,156,698,2
486,156,593,2
486,156,639,2
486,156,587,2
486,156,615,2
665,109,804,3
665,109,667,3
665,109,699,3
665,109,723,3
665,109,681,3
128,62,714,2
128,62,546,2
128,62,549,2
128,62,526,2
128,62,464,2
307,156,485,2
307,156,429,2
307,156,458,2
307,156,479,2
307,156,497,2
307,250,473,1
307,250,458,1
307,250,480,1
307,250,441,1
307,250,415,1
307,15,1142,4
307,15,840,4
307,15,902,4
307,15,1045,4
307,15,833,4
665,15,1185,6
665,15,1083,6
665,15,1253,6
665,15,1035,6
665,15,1239,6
1024,156,946,3
1024,156,983,3
1024,156,714,3
1024,156,834,3
1024,156,862,3
1024,15,1372,6
1024,15,1561,6
1024,15,1165,6
1024,15,1067,6
1024,15,1119,6
486,15,1043,5
486,15,1053,5
486,15,967,5
486,15,1336,5
486,15,984,5
665,156,717,2
665,156,888,2
665,156,667,2
665,156,706,2
665,156,638,2
486,250,540,2
486,250,574,2
486,250,495,2
486,250,553,2
486,250,496,2
128,109,466,1
128,109,556,1
128,109,488,1
128,109,466,1
128,109,488,1
1024,62,947,4
1024,62,929,4
1024,62,1043,4
1024,62,1103,4
1024,62,1066,4
665,250,548,2
665,250,602,2
665,250,524,2
665,250,570,2
665,250,510,2
1024,250,609,2
1024,250,616,2
1024,250,600,2
1024,250,592,2
1024,250,625,2
1024,109,737,3
1024,109,622,3
1024,109,662,3
1024,109,674,3
1024,109,782,3
486,62,660,3
486,62,594,3
486,62,660,3
486,62,647,3
486,62,653,3
307,62,615,3
307,62,539,3
307,62,593,3
307,62,654,3
307,62,616,3
486,109,536,2
486,109,576,2
486,109,646,2
486,109,502,2
486,109,556,2
